dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
boiler,MCAR,50p,6,imputemode,161413.9299999997
lake2,MAR,5p,1,imputemedian,358.13840000000016
lake3,MCAR,50p,8,interpolateindex,414.87794547619046
pump,MCAR,50p,3,mtfunet,51145585.71365582
vibr,MCAR,2p,2,mtfsd2all4,50.19437409380207
boiler,MNAR,50p,1,imputemode,152781.75999999957
vibr,MAR,50p,2,interpolatequadratic,1095.323699201122
lake2,MNAR,2p,7,specsd2all4,154.06111977247576
pump,MNAR,50p,5,imputebfill,1398263.921125299
lake3,MCAR,20p,3,imputeffill,189.39629999999968
lake3,MAR,5p,1,imputemean,266.03401133079853
pump,MCAR,50p,3,imputebfill,1274810.1869665193
vibr,MCAR,5p,10,interpolatenearest,102.4532189320261
lake1,MAR,2p,1,interpolatecubic,8.128447879326757
lake1,MAR,20p,2,imputemean,1189.1709534296028
pump,MNAR,5p,7,rpunet,6793276.340775805
boiler,MAR,2p,9,rpsd2all4,16204.329593811532
lake3,MCAR,2p,7,interpolateindex,13.354850000000056
lake2,MCAR,50p,2,interpolateakima,624.9439860537759
vibr,MAR,50p,4,interpolatecubic,1108.4342863796642
boiler,MNAR,5p,7,interpolatepolynomial,131.00378752124197
vibr,MAR,5p,7,rpunet,127.07009315129066
lake1,MNAR,50p,4,rpunet,1886.0807368400033
lake3,MNAR,5p,3,mtfsd2all4,309.92461743700255
vibr,MCAR,20p,6,mtfsd2all4,458.08601425265715
lake1,MNAR,50p,2,gafunet,2448.8515056285273
lake1,MAR,5p,2,imputeffill,54.03769999999997
lake3,MNAR,50p,5,interpolatelinear,403.42310698412757
lake2,MAR,20p,10,gafsd2all4,3715.0324000000023
boiler,MCAR,5p,4,imputemedian,15147.399999999994
vibr,MNAR,20p,1,interpolatelinear,337.826648275774
lake3,MAR,50p,3,rpunet,2863.16837180936
pump,MNAR,5p,3,gafsd2all4,10882738.095046487
lake1,MCAR,50p,3,interpolatepolynomial,366.1832685884455
