dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,5,2,gafsd2all4,XGBoost,0.10951113374525838,0.5867648925781168,0.593851387475155
boiler,MAR,5,2,impute_bfill,XGBoost,0.04975067354846237,0.2665683593749918,0.2730636339078908
boiler,MAR,5,2,impute_ffill,XGBoost,0.049123088118843194,0.2632053222656168,0.268662282018729
boiler,MAR,5,2,impute_mean,XGBoost,0.05057452979879079,0.2709873046874918,0.28274592160724
boiler,MAR,5,2,impute_median,XGBoost,0.053672680048295375,0.2875827636718668,0.29487381837392507
boiler,MAR,5,2,impute_mode,XGBoost,0.05347628896025257,0.2865268554687418,0.29459670983167785
boiler,MAR,5,2,interpolate_akima,XGBoost,0.04799432736452269,0.2571567382812418,0.264014383390214
boiler,MAR,5,2,interpolate_cubic,XGBoost,0.04804996559464688,0.25745581054686684,0.2625062776507413
boiler,MAR,5,2,interpolate_index,XGBoost,0.04871993872138228,0.2610446777343668,0.26632820199330953
boiler,MAR,5,2,interpolate_linear,XGBoost,0.04871993872138228,0.2610446777343668,0.26632820199330953
boiler,MAR,5,2,interpolate_nearest,XGBoost,0.04837013034829189,0.2591708984374918,0.26504629263858154
boiler,MAR,5,2,interpolate_pchip,XGBoost,0.048112634138074255,0.25779150390624184,0.2627462449399767
boiler,MAR,5,2,interpolate_polynomial,XGBoost,0.047520431430650246,0.25461767578124184,0.2597195893646868
boiler,MAR,5,2,interpolate_quadratic,XGBoost,0.047520431430650246,0.25461767578124184,0.2597195893646868
boiler,MAR,5,2,mtf-unet,XGBoost,0.016185163465687002,0.08671948242185863,0.10252646870613087
boiler,MAR,5,2,mtfsd2all4,XGBoost,0.01571438401881635,0.08419750976561317,0.1028079076367333
boiler,MAR,5,2,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,5,2,rp-unet,XGBoost,0.027438644323871254,0.1470187988281168,0.16184538116451008
boiler,MAR,5,2,rpsd2all4,XGBoost,0.0161046195110208,0.08629150390625,0.09945824612169724
boiler,MAR,5,2,spec-unet,XGBoost,0.008621181309293041,0.046189208984401375,0.06327800575231178
